time,value
2026-02-14T16:52:27.628917795Z,0
2026-02-14T16:52:31.189409238Z,275.6044006347656
2026-02-14T16:52:36.2018022Z,282.8571472167969
2026-02-14T16:52:41.130382618Z,290.9157409667969
2026-02-14T16:52:46.197161566Z,292.5274658203125
2026-02-14T16:52:51.170580129Z,282.05126953125
2026-02-14T16:52:56.19257726Z,308.6446838378906
2026-02-14T16:53:01.12059535Z,294.945068359375
2026-02-14T16:53:06.213872491Z,282.8571472167969
2026-02-14T16:53:11.107474845Z,288.4981689453125
2026-02-14T16:53:16.190012449Z,289.30401611328125
2026-02-14T16:53:31.931595637Z,257.0696105957031
2026-02-14T16:53:37.040973474Z,294.1391906738281
2026-02-14T16:53:41.934585736Z,289.30401611328125
2026-02-14T16:53:51.984287535Z,295.75091552734375
2026-02-14T16:53:57.021376633Z,292.5274658203125
2026-02-14T16:54:07.020037784Z,295.75091552734375
2026-02-14T16:54:11.929816868Z,248.2051239013672
2026-02-14T16:54:17.073937829Z,289.30401611328125
2026-02-14T16:54:21.974912004Z,295.75091552734375
2026-02-14T16:54:33.868616462Z,294.1391906738281
2026-02-14T16:54:38.776280172Z,292.5274658203125
2026-02-14T16:54:48.832307833Z,294.1391906738281
2026-02-14T16:54:53.941712489Z,289.30401611328125
2026-02-14T16:54:58.852944893Z,292.5274658203125
2026-02-14T16:55:03.91185678Z,282.8571472167969
2026-02-14T16:55:08.76580558Z,295.75091552734375
2026-02-14T16:55:13.911989152Z,272.3809509277344
2026-02-14T16:55:18.815443533Z,291.72161865234375
2026-02-14T16:55:23.90767411Z,294.945068359375
2026-02-14T16:55:28.757067234Z,295.75091552734375
2026-02-14T16:55:33.978912789Z,294.945068359375
2026-02-14T16:55:50.864350965Z,292.5274658203125
2026-02-14T16:56:00.815879032Z,295.75091552734375
2026-02-14T16:56:10.842980219Z,292.5274658203125
2026-02-14T16:56:20.88044529Z,286.8864440917969
2026-02-14T16:56:30.813951976Z,305.4212341308594
2026-02-14T16:56:40.84786797Z,293.3333435058594
2026-02-14T16:56:57.74508625Z,302.19781494140625
2026-02-14T16:57:02.557409274Z,290.9157409667969
2026-02-14T16:57:07.694277819Z,295.75091552734375
2026-02-14T16:57:12.554146804Z,288.4981689453125
2026-02-14T16:57:17.636206552Z,293.3333435058594
2026-02-14T16:57:22.596680032Z,295.75091552734375
2026-02-14T16:57:54.525696019Z,287.69232177734375
2026-02-14T16:57:59.389349399Z,295.75091552734375
2026-02-14T16:58:09.425946685Z,300.5860900878906
2026-02-14T16:58:29.383993152Z,333.6263732910156
2026-02-14T16:58:39.379867958Z,295.75091552734375
2026-02-14T16:58:49.463765014Z,294.945068359375
2026-02-14T16:59:01.453901641Z,301.3919372558594
2026-02-14T16:59:06.28529689Z,292.5274658203125
2026-02-14T16:59:11.48057042Z,294.1391906738281
2026-02-14T16:59:16.282065307Z,308.6446838378906
2026-02-14T16:59:21.516756152Z,293.3333435058594
2026-02-14T16:59:26.332377222Z,303.003662109375
2026-02-14T16:59:31.424630137Z,294.945068359375
2026-02-14T16:59:36.268937078Z,299.78021240234375
2026-02-14T16:59:41.419955833Z,298.1684875488281
2026-02-14T16:59:46.273112598Z,297.3626403808594
2026-02-14T16:59:51.411771176Z,289.30401611328125
2026-02-14T16:59:56.346866517Z,295.75091552734375
2026-02-14T17:00:01.415127807Z,298.1684875488281
2026-02-14T17:00:18.262792666Z,298.974365234375
2026-02-14T17:00:28.308819671Z,303.003662109375
2026-02-14T17:00:38.316438413Z,298.974365234375
2026-02-14T17:00:48.253696497Z,295.75091552734375
2026-02-14T17:01:08.252754111Z,289.30401611328125
2026-02-14T17:01:15.094705594Z,293.3333435058594
2026-02-14T17:01:20.010772117Z,298.1684875488281
2026-02-14T17:01:25.145168308Z,289.30401611328125
2026-02-14T17:01:30.005122398Z,295.75091552734375
2026-02-14T17:01:45.197342578Z,278.02197265625
2026-02-14T17:01:50.107809794Z,299.78021240234375
2026-02-14T17:02:00.042505553Z,298.1684875488281
2026-02-14T17:02:05.089741315Z,282.8571472167969
2026-02-14T17:02:10.003317292Z,299.78021240234375
2026-02-14T17:02:21.930359467Z,300.5860900878906
2026-02-14T17:02:26.912145487Z,307.8388366699219
2026-02-14T17:02:31.985651622Z,301.3919372558594
2026-02-14T17:02:36.830436088Z,298.974365234375
2026-02-14T17:02:42.0208383Z,293.3333435058594
2026-02-14T17:02:46.932288417Z,301.3919372558594
2026-02-14T17:02:51.980620555Z,323.1501770019531
2026-02-14T17:02:56.881909484Z,302.19781494140625
2026-02-14T17:03:02.089492031Z,276.4102478027344
2026-02-14T17:03:06.903535344Z,301.3919372558594
2026-02-14T17:03:11.970558516Z,302.19781494140625
2026-02-14T17:03:16.8273095Z,295.75091552734375
2026-02-14T17:03:21.970625936Z,298.1684875488281
2026-02-14T17:03:38.853041032Z,300.5860900878906
2026-02-14T17:03:48.8202141Z,295.75091552734375
2026-02-14T17:03:58.857790952Z,300.5860900878906
2026-02-14T17:04:18.806624171Z,295.75091552734375
2026-02-14T17:04:28.858327434Z,298.974365234375
2026-02-14T17:04:35.685757742Z,302.19781494140625
2026-02-14T17:04:45.651970392Z,306.22711181640625
2026-02-14T17:04:52.068376468Z,300.5860900878906
2026-02-14T17:04:55.754424602Z,299.78021240234375
2026-02-14T17:05:00.693786333Z,295.75091552734375
2026-02-14T17:05:05.646887076Z,308.6446838378906
2026-02-14T17:05:10.650893149Z,355.3846130371094
2026-02-14T17:05:15.725433548Z,301.3919372558594
2026-02-14T17:05:20.743061948Z,298.974365234375
2026-02-14T17:05:25.649229802Z,299.78021240234375
2026-02-14T17:05:30.677375949Z,305.4212341308594
2026-02-14T17:05:42.554024737Z,287.69232177734375
2026-02-14T17:05:47.398475734Z,302.19781494140625
2026-02-14T17:05:52.590289834Z,303.80950927734375
2026-02-14T17:05:57.504820278Z,297.3626403808594
2026-02-14T17:06:02.598588501Z,282.8571472167969
2026-02-14T17:06:07.393159788Z,298.974365234375
2026-02-14T17:06:12.543419248Z,301.3919372558594
2026-02-14T17:06:17.393637101Z,321.5384521484375
2026-02-14T17:06:22.552407646Z,298.974365234375
2026-02-14T17:06:27.376661925Z,299.78021240234375
2026-02-14T17:06:32.581208952Z,307.032958984375
2026-02-14T17:06:37.388934775Z,300.5860900878906
2026-02-14T17:06:42.534092854Z,301.3919372558594
